Filename,Total_Sent_Packets,Total_Received_Packets,AVG_Throughput_Kbps,Total_Delay,PDR_%,SetRun
Iteration_d50_m70_OLSR_1.csv,632,299,2.04857,+8.42858e+09ns,47.3101,5
Iteration_d50_m70_OLSR_2.csv,851,338,1.25896,+1.67697e+10ns,39.718,5
Iteration_d50_m70_OLSR_3.csv,856,351,1.87358,+8.49855e+09ns,41.0047,5
Iteration_d50_m70_OLSR_4.csv,1011,380,13.8062,+8.54071e+09ns,37.5865,5
Iteration_d50_m70_OLSR_5.csv,1225,429,1.44844,+4.14373e+08ns,35.0204,5
Iteration_d50_m70_OLSR_6.csv,1332,473,1.48078,+1.16729e+10ns,35.5105,5
Iteration_d50_m70_OLSR_7.csv,1427,539,1.47168,+1.99894e+10ns,37.7715,5
Iteration_d50_m70_OLSR_8.csv,1501,578,1.60106,+1.69932e+10ns,38.5077,5
Iteration_d50_m70_OLSR_9.csv,1621,658,1.74656,+1.90985e+10ns,40.5922,5
Iteration_d50_m70_OLSR_10.csv,1713,744,1.51758,+3.66392e+10ns,43.4326,5
Iteration_d50_m70_OLSR_11.csv,1869,760,1.13545,+1.52534e+10ns,40.6635,5
Iteration_d50_m70_OLSR_12.csv,2115,824,1.21041,+1.88398e+10ns,38.9598,5
Iteration_d50_m70_OLSR_13.csv,2204,886,1.07571,+1.36399e+10ns,40.1996,5
Iteration_d50_m70_OLSR_14.csv,2288,951,1.13471,+1.38207e+10ns,41.5647,5
Iteration_d50_m70_OLSR_15.csv,2458,985,1.13792,+1.33642e+10ns,40.0732,5
Iteration_d50_m70_OLSR_16.csv,2666,1101,1.13646,+2.09213e+10ns,41.2978,5
Iteration_d50_m70_OLSR_17.csv,2896,1242,1.18283,+1.61421e+10ns,42.8867,5
Iteration_d50_m70_OLSR_18.csv,3229,1395,1.0957,+1.86672e+10ns,43.2022,5
Iteration_d50_m70_OLSR_19.csv,3433,1497,1.29498,+3.25433e+10ns,43.6062,5
Iteration_d50_m70_OLSR_20.csv,3385,1561,1.34262,+2.58645e+10ns,46.1152,5
Iteration_d50_m70_OLSR_21.csv,3275,1724,1.44963,+1.69119e+10ns,52.6412,5
Iteration_d50_m70_OLSR_22.csv,3489,1869,1.58174,+1.98606e+10ns,53.5684,5
Iteration_d50_m70_OLSR_23.csv,3547,2014,1.51553,+3.08729e+10ns,56.7804,5
Iteration_d50_m70_OLSR_24.csv,3557,2079,1.57985,+2.05356e+10ns,58.4481,5
Iteration_d50_m70_OLSR_25.csv,3667,2251,1.68543,+1.25887e+10ns,61.3853,5
Iteration_d50_m70_OLSR_26.csv,3802,2467,1.84722,+1.06365e+10ns,64.8869,5
Iteration_d50_m70_OLSR_27.csv,3781,2668,2.00111,+6.93841e+09ns,70.5633,5
Iteration_d50_m70_OLSR_28.csv,3747,2784,2.08378,+2.16513e+10ns,74.2994,5
Iteration_d50_m70_OLSR_29.csv,3746,2924,2.18856,+1.09878e+10ns,78.0566,5
Iteration_d50_m70_OLSR_30.csv,3886,2951,2.20271,+1.41078e+10ns,75.9393,5
Iteration_d50_m70_OLSR_31.csv,3948,3172,2.3668,+1.66914e+10ns,80.3445,5
Iteration_d50_m70_OLSR_32.csv,3958,3348,2.49509,+2.87544e+10ns,84.5882,5
Iteration_d50_m70_OLSR_33.csv,3979,3380,2.52107,+2.46822e+10ns,84.946,5
Iteration_d50_m70_OLSR_34.csv,3980,3503,2.60953,+1.52126e+10ns,88.0151,5
Iteration_d50_m70_OLSR_35.csv,3980,3559,2.65017,+7.40895e+09ns,89.4221,5
Iteration_d50_m70_OLSR_36.csv,3980,3715,2.75888,+1.90839e+10ns,93.3417,5
Iteration_d50_m70_OLSR_37.csv,3980,3795,2.81641,+9.23943e+09ns,95.3518,5
Iteration_d50_m70_OLSR_38.csv,3980,3820,2.83383,+4.14499e+09ns,95.9799,5
Iteration_d50_m70_OLSR_39.csv,3980,3526,2.82725,+4.6588e+09ns,88.593,5
Iteration_d50_m70_OLSR_40.csv,3980,3877,2.8749,+1.28376e+10ns,97.4121,5
